task,stimTop,stimLeft,stimRight,corrAns,gender,race,emotionType,stimSet,imageSet
distractor,oval-horizontal.bmp,oval-horizontal.bmp,oval-vertical.bmp,left,,,,,
distractor,oval-vertical.bmp,oval-horizontal.bmp,oval-vertical.bmp,right,,,,,
distractor,circle.bmp,circle.bmp,oval-vertical.bmp,left,,,,,
distractor,oval-vertical.bmp,circle.bmp,oval-vertical.bmp,right,,,,,
distractor,circle.bmp,oval-horizontal.bmp,circle.bmp,right,,,,,
distractor,oval-horizontal.bmp,oval-horizontal.bmp,circle.bmp,left,,,,,
match,FAZ_129.jpg,FFZ_18.jpg,FAZ_129.jpg,right,F,Black,A,GUR,A
match,24M_FE_O.jpg,20M_FE_O.jpg,24M_FE_O.jpg,right,M,White,F,NIM,A
match,FAX_25.jpg,FAZ_23.jpg,FAX_25.jpg,right,F,White,A,GUR,A
match,33M_FE_O.jpg,33M_FE_O.jpg,35M_FE_O.jpg,left,M,White,F,NIM,A
match,01F_AN_O.jpg,01F_AN_O.jpg,02F_AN_O.jpg,left,F,White,A,NIM,A
match,MFZ_132.jpg,MFZ_132.jpg,MFZ_120.jpg,left,M,White,F,GUR,A
distractor,oval-vertical.bmp,oval-horizontal.bmp,oval-vertical.bmp,right,,,,,
distractor,oval-vertical.bmp,circle.bmp,oval-vertical.bmp,right,,,,,
distractor,oval-horizontal.bmp,oval-horizontal.bmp,oval-vertical.bmp,left,,,,,
distractor,oval-horizontal.bmp,oval-horizontal.bmp,circle.bmp,left,,,,,
distractor,circle.bmp,circle.bmp,oval-vertical.bmp,left,,,,,
distractor,circle.bmp,oval-horizontal.bmp,circle.bmp,right,,,,,
match,18F_FE_O.jpg,17F_FE_O.jpg,18F_FE_O.jpg,right,F,White,F,NIM,B
match,43M_AN_O.jpg,42M_AN_O.jpg,43M_AN_O.jpg,right,M,Black,A,NIM,B
match,31M_FE_O.jpg,31M_FE_O.jpg,32M_FE_O.jpg,left,M,MIXED,F,NIM,B
match,FFZ_236.jpg,FAZ_212.jpg,FFZ_236.jpg,right,F,Black,A,GUR,B
match,06F_FE_O.jpg,06F_FE_O.jpg,08F_FE_O.jpg,left,F,White,F,NIM,B
match,MAZ_128.jpg,MAZ_128.jpg,MAX_39.jpg,left,M,White,A,GUR,B
distractor,oval-vertical.bmp,circle.bmp,oval-vertical.bmp,right,,,,,
distractor,oval-horizontal.bmp,oval-horizontal.bmp,circle.bmp,left,,,,,
distractor,oval-vertical.bmp,oval-horizontal.bmp,oval-vertical.bmp,right,,,,,
distractor,circle.bmp,oval-horizontal.bmp,circle.bmp,right,,,,,
distractor,oval-horizontal.bmp,oval-horizontal.bmp,oval-vertical.bmp,left,,,,,
distractor,circle.bmp,circle.bmp,oval-vertical.bmp,left,,,,,
match,FAZ_129.jpg,FFZ_18.jpg,FAZ_129.jpg,right,F,Black,A,GUR,A
match,24M_FE_O.jpg,20M_FE_O.jpg,24M_FE_O.jpg,right,M,White,F,NIM,A
match,FAX_25.jpg,FAZ_23.jpg,FAX_25.jpg,right,F,White,A,GUR,A
match,33M_FE_O.jpg,33M_FE_O.jpg,35M_FE_O.jpg,left,M,White,F,NIM,A
match,01F_AN_O.jpg,01F_AN_O.jpg,02F_AN_O.jpg,left,F,White,A,NIM,A
match,MFZ_132.jpg,MFZ_132.jpg,MFZ_120.jpg,left,M,White,F,GUR,A
