stimFile,ITI_1,ITI_2
faces\amu6.jpg,0.701450184,2.063039816
faces\bfu2.jpg,0.761833044,2.22953873
faces\bfu5.jpg,0.441983675,1.814773593
faces\bms4.jpg,0.759154888,0.811640879
faces\ams3.jpg,0.297749521,2.01357046
faces\afu1.jpg,0.592938913,0.706063291
faces\wfs7.jpg,0.384462654,2.364447478
faces\wfu2.jpg,0.427219201,2.708817329
faces\wms8.jpg,0.604611837,2.329535751
faces\wfs5.jpg,0.613601436,2.099005485
faces\afs7.jpg,0.351632132,0.597677052
faces\wmu3.jpg,0.333671303,0.786044946
faces\afu2.jpg,0.517958291,1.842002752
faces\bfu8.jpg,0.359018271,0.5847407
faces\wms2.jpg,0.304693436,0.895074359
faces\wfu4.jpg,0.318430974,0.738979085
faces\bmu3.jpg,0.620374294,1.865626161
faces\bmu1.jpg,0.299143984,2.488985345
faces\ams4.jpg,0.676967288,0.281081531
faces\afs9.jpg,0.661407428,2.350010591
faces\bmu4.jpg,0.710193724,0.69996751
faces\ams2.jpg,0.769602865,1.208518082
faces\afs5.jpg,0.355838206,1.84171793
faces\bmu9.jpg,0.361751271,1.199300824
faces\bfu4.jpg,0.444241715,1.326930608
faces\bms7.jpg,0.736934114,0.726019976
faces\afu8.jpg,0.760282948,1.363018522
faces\bfs1.jpg,0.350616043,1.425981804
faces\amu8.jpg,0.766418347,1.201148951
faces\wms5.jpg,0.31314417,1.736174406
faces\afu6.jpg,0.27317587,1.480391532
faces\amu5.jpg,0.734973956,0.457503051
faces\bfs5.jpg,0.582009374,1.515643271
faces\afs1.jpg,0.581588766,0.726942544
faces\afu4.jpg,0.341396024,1.794887567
faces\wmu2.jpg,0.479006233,2.310986855
faces\afs8.jpg,0.538904724,1.119441523
faces\wmu6.jpg,0.356844885,1.332641197
faces\afu9.jpg,0.725854334,1.617086021
faces\bmu2.jpg,0.768555292,2.010365754
faces\bfs9.jpg,0.230603974,1.579690202
faces\wfu6.jpg,0.516630777,2.553116338
faces\wmu5.jpg,0.575124436,1.840291776
faces\bmu5.jpg,0.456794504,1.140644042
faces\amu2.jpg,0.360646534,2.226532519
faces\bfs6.jpg,0.796409705,0.433963802
faces\wfs2.jpg,0.26392739,2.141464946
faces\bms2.jpg,0.408403619,2.073889997
faces\afs4.jpg,0.717087602,2.347066514
faces\wfu3.jpg,0.496391421,2.344190392
faces\bms3.jpg,0.337452179,2.717269212
faces\wfu5.jpg,0.253819717,1.533153086
faces\amu9.jpg,0.390089156,2.120607204
faces\afu5.jpg,0.387428441,2.638483315
faces\bfs2.jpg,0.335820885,1.67922941
faces\bms5.jpg,0.235408434,1.539479029
faces\bfs3.jpg,0.394756383,1.951300244
faces\wmu1.jpg,0.562247492,2.398319877
faces\bfu9.jpg,0.481880983,0.662618591
faces\amu1.jpg,0.658616078,1.848567647
faces\wms4.jpg,0.468409992,0.757084405
faces\bfs4.jpg,0.457093371,1.730142092
faces\wmu4.jpg,0.352937117,1.242804703
faces\bfs8.jpg,0.580952298,0.270349518
faces\wfu7.jpg,0.448227721,1.32462396
faces\bmu6.jpg,0.765212639,1.621957442
faces\amu7.jpg,0.211813015,1.994870486
faces\wms3.jpg,0.288512088,1.173600699
faces\bfs7.jpg,0.559479636,1.997594329
faces\wfs9.jpg,0.426335834,1.412653737
faces\amu4.jpg,0.520146799,2.251073046
faces\wms1.jpg,0.779707266,0.798267476
faces\wfu9.jpg,0.429678334,0.320417358
faces\wmu7.jpg,0.635345467,0.322332094
faces\wmu8.jpg,0.257264038,1.447922545
faces\bms8.jpg,0.354695378,1.587231064
faces\wfs1.jpg,0.266917638,2.487497461
faces\ams8.jpg,0.539694802,2.567645899
faces\bms1.jpg,0.310785725,1.071267638
faces\bfu1.jpg,0.28102831,0.39273786
faces\wmu9.jpg,0.657317588,0.504499002
faces\wfs3.jpg,0.56396269,1.582025171
faces\afu7.jpg,0.763943381,1.427249561
faces\bms9.jpg,0.782122019,0.376960547
faces\bmu7.jpg,0.55965217,2.682611558
faces\wfs8.jpg,0.367804874,0.546997854
faces\wfu1.jpg,0.21209199,1.295591931
faces\afs6.jpg,0.593103224,0.392046294
faces\wfs6.jpg,0.469589793,0.421918586
faces\ams6.jpg,0.279735019,1.901573079
faces\amu3.jpg,0.699949717,2.559494442
faces\wms6.jpg,0.702373058,0.282794553
faces\wfu8.jpg,0.645165647,0.72056083
faces\ams5.jpg,0.697396376,2.559926873
faces\wms7.jpg,0.590195209,2.391203128
faces\bms6.jpg,0.642183733,1.147273946
